candidate_id,current_rank,overall_quality,elite_strong_medium_weak,trust_level,primary_strength,primary_risk,should_move_up,should_move_down,notes
CAND_0046064,1,Excellent interview-first profile,ELITE,MEDIUM,"Strongest family: vector search. search_ranking `candidate-jd matching` L5 at Salesforce / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | search_ranking `learning-to-rank` L5 at Verloop.io / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-...",degree_order_reversal; skills_current_role_mismatch; skills_headline_mismatch,NO,NO,gold=ELITE; final=0.821; search=0.96; retrieval=0.83; eval=0.96; trust=7.0. search_ranking `candidate-jd matching` L5 at Salesforce / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching.
CAND_0039754,2,Excellent interview-first profile,ELITE,MEDIUM,Strongest family: vector search. search_ranking `learning-to-rank` L5 at Meta / Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener... | search_ranking `ranking pipeline` L5 at Meta / Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener...,current_title_description_mismatch; previous_title_description_mismatch; skills_career_history_mismatch,NO,NO,gold=ELITE; final=0.808; search=0.94; retrieval=0.96; eval=0.98; trust=9.0. search_ranking `learning-to-rank` L5 at Meta / Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener...
CAND_0046525,3,Excellent interview-first profile,ELITE,HIGH,"Strongest family: evaluation. search_ranking `ranker` L5 at Genpact AI / Senior Machine Learning Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. | search_ranking `learning-to-rank` L5 at LinkedIn / Senior Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-...",No major V2 trust risk; still verify synthetic profile realism.,NO,NO,gold=ELITE; final=0.786; search=0.85; retrieval=0.89; eval=0.96; trust=0.0. search_ranking `ranker` L5 at Genpact AI / Senior Machine Learning Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system.
CAND_0081846,4,Excellent interview-first profile,ELITE,HIGH,"Strongest family: vector search. search_ranking `learning-to-rank` L5 at Razorpay / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-... | search_ranking `ranking pipeline` L5 at Razorpay / Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.",skills_current_role_mismatch; skills_headline_mismatch,NO,NO,"gold=ELITE; final=0.785; search=0.83; retrieval=0.94; eval=0.96; trust=3.0. search_ranking `learning-to-rank` L5 at Razorpay / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-..."
CAND_0005260,5,Excellent interview-first profile,ELITE,HIGH,"Strongest family: evaluation. search_ranking `candidate-jd matching` L5 at Netflix / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | search_ranking `learning-to-rank` L5 at Yellow.ai / Senior NLP Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-...",No major V2 trust risk; still verify synthetic profile realism.,NO,NO,gold=ELITE; final=0.784; search=0.85; retrieval=0.74; eval=0.94; trust=0.0. search_ranking `candidate-jd matching` L5 at Netflix / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching.
CAND_0092278,6,Excellent interview-first profile,ELITE,MEDIUM,"Strongest family: vector search. search_ranking `ranking layer` L5 at Microsoft / Senior NLP Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transfo... | search_ranking `re-ranking` L5 at Microsoft / Senior NLP Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transfo...",template repetition; template_repetition,NO,NO,"gold=ELITE; final=0.778; search=0.95; retrieval=0.74; eval=0.94; trust=8.0. search_ranking `ranking layer` L5 at Microsoft / Senior NLP Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transfo..."
CAND_0018499,7,Strong interview profile,STRONG,MEDIUM,"Strongest family: evaluation. search_ranking `learning-to-rank` L5 at Zomato / Senior Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-... | search_ranking `ranking pipeline` L5 at Zomato / Senior Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.",template repetition; graduation_after_employment_start; template_repetition,NO,YES,"gold=STRONG; final=0.774; search=0.96; retrieval=0.92; eval=1.00; trust=11.0. search_ranking `learning-to-rank` L5 at Zomato / Senior Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-..."
CAND_0008425,8,Strong interview profile,STRONG,HIGH,Strongest family: vector search. search_ranking `candidate-jd matching` L5 at Zomato / Senior ML Engineer — Search & Ranking: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | search_ranking `learning-to-rank` L5 at Amazon / Lead AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener...,skills_current_role_mismatch; skills_headline_mismatch,NO,NO,gold=STRONG; final=0.769; search=0.83; retrieval=0.87; eval=0.68; trust=3.0. search_ranking `candidate-jd matching` L5 at Zomato / Senior ML Engineer - Search & Ranking: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching.
CAND_0088025,9,Strong interview profile,STRONG,MEDIUM,Strongest family: vector search. search_ranking `learning-to-rank` L5 at Yellow.ai / Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener... | search_ranking `ranking pipeline` L5 at Yellow.ai / Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener...,template repetition; template_repetition,NO,YES,gold=STRONG; final=0.758; search=0.93; retrieval=0.84; eval=0.76; trust=8.0. search_ranking `learning-to-rank` L5 at Yellow.ai / Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener...
CAND_0055905,10,Excellent interview-first profile,ELITE,MEDIUM,"Strongest family: vector search. search_ranking `candidate-jd matching` L5 at Uber / Senior AI Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | search_ranking `learning-to-rank` L5 at Rephrase.ai / Senior Applied Scientist: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-...",degree_order_reversal; previous_title_description_mismatch; skills_current_role_mismatch,NO,NO,gold=ELITE; final=0.752; search=0.85; retrieval=0.94; eval=0.96; trust=9.0. search_ranking `candidate-jd matching` L5 at Uber / Senior AI Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching.
CAND_0053695,11,Strong interview profile,STRONG,MEDIUM,"Strongest family: search ranking. search_ranking `ranking model` L5 at Meesho / Recommendation Systems Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | search_ranking `learning-to-rank` L5 at Genpact AI / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",current_title_description_mismatch; skills_current_role_mismatch,NO,NO,gold=STRONG; final=0.724; search=0.82; retrieval=0.77; eval=0.73; trust=5.0. search_ranking `ranking model` L5 at Meesho / Recommendation Systems Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.
CAND_0086022,12,Excellent interview-first profile,ELITE,MEDIUM,"Strongest family: evaluation. search_ranking `learning-to-rank` L5 at Sarvam AI / Senior Applied Scientist: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-... | search_ranking `ranking pipeline` L5 at Sarvam AI / Senior Applied Scientist: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.",current_title_description_mismatch; skills_career_history_mismatch; skills_current_role_mismatch,YES,NO,"gold=ELITE; final=0.719; search=0.85; retrieval=0.87; eval=0.96; trust=6.0. search_ranking `learning-to-rank` L5 at Sarvam AI / Senior Applied Scientist: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-..."
CAND_0094759,13,Excellent interview-first profile,ELITE,MEDIUM,"Strongest family: evaluation. search_ranking `ranker` L5 at Meta / Lead AI Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. | search_ranking `learning-to-rank` L5 at Apple / Senior NLP Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-...",template repetition; previous_title_description_mismatch; template_repetition,YES,NO,gold=ELITE; final=0.716; search=0.92; retrieval=0.94; eval=0.98; trust=10.0. search_ranking `ranker` L5 at Meta / Lead AI Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system.
CAND_0041611,14,Excellent interview-first profile,ELITE,MEDIUM,"Strongest family: vector search. search_ranking `learning-to-rank` L5 at Locobuzz / Staff Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-... | search_ranking `ranking pipeline` L5 at Locobuzz / Staff Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.",previous_title_description_mismatch; signup_after_last_active,YES,NO,"gold=ELITE; final=0.713; search=0.85; retrieval=0.97; eval=0.98; trust=7.0. search_ranking `learning-to-rank` L5 at Locobuzz / Staff Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-..."
CAND_0077337,15,Strong interview profile,STRONG,MEDIUM,"Strongest family: retrieval. search_ranking `ranking layer` L5 at Paytm / Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transfo... | search_ranking `re-ranking` L5 at Paytm / Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transfo...",template repetition; skills_current_role_mismatch; skills_headline_mismatch; template_repetition,NO,YES,"gold=STRONG; final=0.711; search=0.79; retrieval=0.96; eval=0.76; trust=11.0. search_ranking `ranking layer` L5 at Paytm / Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transfo..."
CAND_0091534,16,Excellent interview-first profile,ELITE,HIGH,"Strongest family: evaluation. search_ranking `learning-to-rank` L5 at Flipkart / AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Flipkart / AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",No major V2 trust risk; still verify synthetic profile realism.,YES,NO,"gold=ELITE; final=0.711; search=0.74; retrieval=0.71; eval=0.83; trust=0.0. search_ranking `learning-to-rank` L5 at Flipkart / AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0018722,17,Strong interview profile,STRONG,LOW,"Strongest family: evaluation. search_ranking `learning-to-rank` L5 at Unacademy / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Unacademy / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",template repetition; current_title_description_mismatch; current_title_evidence_mismatch; skills_current_role_mismatch,NO,YES,"gold=STRONG; final=0.702; search=0.91; retrieval=0.72; eval=0.94; trust=18.0. search_ranking `learning-to-rank` L5 at Unacademy / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0010685,18,Excellent interview-first profile,ELITE,HIGH,"Strongest family: search ranking. search_ranking `learning-to-rank` L5 at Rephrase.ai / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Rephrase.ai / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",previous_title_description_mismatch,YES,NO,"gold=ELITE; final=0.701; search=0.82; retrieval=0.75; eval=0.73; trust=2.0. search_ranking `learning-to-rank` L5 at Rephrase.ai / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0010770,19,Acceptable but not interview-first,MEDIUM,LOW,"Strongest family: retrieval. search_ranking `ranking model` L5 at Aganitha / Recommendation Systems Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | search_ranking `learning-to-rank` L5 at Observe.AI / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",template repetition; current_title_description_mismatch; moderate_career_incoherence; skills_current_role_mismatch,NO,YES,gold=MEDIUM; final=0.698; search=0.87; retrieval=0.90; eval=0.73; trust=15.0. search_ranking `ranking model` L5 at Aganitha / Recommendation Systems Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.
CAND_0076904,20,Strong interview profile,STRONG,HIGH,"Strongest family: evaluation. search_ranking `learning-to-rank` L5 at Nykaa / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Nykaa / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",No major V2 trust risk; still verify synthetic profile realism.,NO,NO,"gold=STRONG; final=0.694; search=0.74; retrieval=0.76; eval=0.76; trust=0.0. search_ranking `learning-to-rank` L5 at Nykaa / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0081686,21,Acceptable but not interview-first,MEDIUM,MEDIUM,"Strongest family: vector search. search_ranking `learning-to-rank` L5 at Netflix / Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Netflix / Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",current_title_description_mismatch; previous_title_description_mismatch; skills_career_history_mismatch,NO,YES,"gold=MEDIUM; final=0.692; search=0.74; retrieval=0.69; eval=0.82; trust=8.0. search_ranking `learning-to-rank` L5 at Netflix / Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0057563,22,Acceptable but not interview-first,MEDIUM,MEDIUM,"Strongest family: vector search. search_ranking `learning-to-rank` L5 at Locobuzz / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Locobuzz / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",degree_order_reversal; graduation_after_employment_start; previous_title_description_mismatch,NO,YES,"gold=MEDIUM; final=0.686; search=0.74; retrieval=0.78; eval=0.82; trust=9.0. search_ranking `learning-to-rank` L5 at Locobuzz / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0055992,23,Acceptable but not interview-first,MEDIUM,MEDIUM,"Strongest family: vector search. search_ranking `learning-to-rank` L5 at Ola / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Ola / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",degree_order_reversal; graduation_after_employment_start; previous_title_description_mismatch,NO,YES,"gold=MEDIUM; final=0.686; search=0.74; retrieval=0.73; eval=0.89; trust=10.0. search_ranking `learning-to-rank` L5 at Ola / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0086151,24,Acceptable but not interview-first,MEDIUM,MEDIUM,"Strongest family: recommendation. search_ranking `learning-to-rank` L5 at Wysa / Recommendation Systems Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Wysa / Recommendation Systems Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",current_title_description_mismatch; previous_title_description_mismatch; skills_career_history_mismatch,NO,YES,"gold=MEDIUM; final=0.685; search=0.74; retrieval=0.72; eval=0.82; trust=9.0. search_ranking `learning-to-rank` L5 at Wysa / Recommendation Systems Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0050454,25,Strong interview profile,STRONG,MEDIUM,"Strongest family: retrieval. search_ranking `learning-to-rank` L5 at Uber / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Uber / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",template repetition; template_repetition,NO,NO,"gold=STRONG; final=0.683; search=0.80; retrieval=0.91; eval=0.76; trust=8.0. search_ranking `learning-to-rank` L5 at Uber / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0030827,26,Strong interview profile,STRONG,HIGH,"Strongest family: search ranking. search_ranking `learning-to-rank` L5 at Freshworks / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Freshworks / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",No major V2 trust risk; still verify synthetic profile realism.,NO,NO,"gold=STRONG; final=0.678; search=0.75; retrieval=0.73; eval=0.73; trust=0.0. search_ranking `learning-to-rank` L5 at Freshworks / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
CAND_0071974,27,Strong interview profile,STRONG,HIGH,Strongest family: vector search. search_ranking `learning-to-rank` L5 at Netflix / Senior AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener... | search_ranking `ranking pipeline` L5 at Netflix / Senior AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener...,skills_current_role_mismatch; skills_headline_mismatch,NO,NO,gold=STRONG; final=0.675; search=0.90; retrieval=0.48; eval=0.43; trust=3.0. search_ranking `learning-to-rank` L5 at Netflix / Senior AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing embedding gener...
CAND_0043228,28,Strong interview profile,STRONG,HIGH,"Strongest family: retrieval. search_ranking `learning-to-rank` L5 at Zoho / Applied ML Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin... | search_ranking `ranking layer` L5 at Zoho / Applied ML Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin...",previous_title_description_mismatch,NO,NO,"gold=STRONG; final=0.672; search=0.75; retrieval=0.77; eval=0.73; trust=2.0. search_ranking `learning-to-rank` L5 at Zoho / Applied ML Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learnin..."
