candidate_id,gold_label,justification
CAND_0081846,ELITE,"Search Ranking Engineer; decision=YES; suggested=Top 10. Evidence: Ranking/relevance: Razorpay Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Retrieval/search infra: Razorpay Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: Profile consistency concern: skills_current_role_mismatch, skills_headline_mismatch"
CAND_0088025,STRONG,Retrieval Engineer; decision=YES; suggested=Top 50. Evidence: Retrieval/search infra: Yellow.ai Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... | Ranking/relevance: Yellow.ai Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using...
CAND_0046525,ELITE,Search Ranking Engineer; decision=YES; suggested=Top 10. Evidence: Ranking/relevance: Genpact AI Senior Machine Learning Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. | Retrieval/search infra: Genpact AI Senior Machine Learning Engineer: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Concern: No major concern beyond normal verification of synthetic profile evide...
CAND_0010685,ELITE,"Search Ranking Engineer; decision=YES; suggested=Top 10. Evidence: Ranking/relevance: Rephrase.ai NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Rephrase.ai NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concern: Profile consistency concern:..."
CAND_0077337,STRONG,"Retrieval Engineer; decision=YES; suggested=Top 50. Evidence: Retrieval/search infra: Razorpay Senior NLP Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. | Ranking/relevance: Paytm Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. Concern: Profile consistency concern: sk..."
CAND_0039754,ELITE,Evaluation/Relevance Engineer; decision=YES; suggested=Top 10. Evidence: Evaluation: Meta Senior Applied Scientist: The hardest part wasn't the ML - it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. | Ranking/relevance: Meta Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon......
CAND_0050454,STRONG,"Search Ranking Engineer; decision=YES; suggested=Top 50. Evidence: Ranking/relevance: Rephrase.ai AI Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Rephrase.ai AI Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. Concern: Repeated/template-like role descriptions across employers; committee discounts confidence."
CAND_0018499,STRONG,Search Ranking Engineer; decision=YES; suggested=Top 50. Evidence: Ranking/relevance: Zomato Senior Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Retrieval/search infra: Zomato Senior Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: Profile consistency concern: graduation_after_employment_start
CAND_0091534,ELITE,"Search Ranking Engineer; decision=YES; suggested=Top 10. Evidence: Ranking/relevance: Flipkart AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Flipkart AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concern: No major concern beyond normal verif..."
CAND_0046064,ELITE,"Search Ranking Engineer; decision=YES; suggested=Top 10. Evidence: Ranking/relevance: Salesforce Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Verloop.io Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: Profile consistency concern: degree_order_reversal, skills_current_role_mismatch, skills_h..."
