rank,candidate_id,technical_score,career_score,market_score,consistency_score,consistency_penalty,calibration_penalty,final_score,score_cap,reasoning,current_title,current_company,years_of_experience,skill_count,ai_skill_count,relevant_role_count,relevant_duration_months,career_ranking_evidence_count,career_retrieval_evidence_count,keyword_stuffer,ai_transition,consulting_only,consistency_points,consistency_reason_codes
1,CAND_0081846,0.985716,1.0,0.9544,0.9,0.1,0.0,0.974452,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (bm25, retrieval); 2 relevant roles with 79 months of supporting experience",Lead AI Engineer,Razorpay,6.7,18,5,2,79.0,3,5,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
2,CAND_0088025,0.967041,1.0,0.9402,1.0,0.0,0.0,0.973209,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (retrieval); 3 relevant roles with 102 months of supporting experience | Concerns: longer notice period (90 days)",Staff Machine Learning Engineer,Yellow.ai,8.6,19,6,3,102.0,3,2,False,False,False,0.0,nan
3,CAND_0046525,0.972363,0.973957,0.947,1.0,0.0,0.0,0.970453,,"Positives: career evidence for ranking/relevance systems (ranker, ranking); career evidence for retrieval/search systems (bm25, retrieval); 2 relevant roles with 73 months of supporting experience",Senior Machine Learning Engineer,Genpact AI,6.1,17,5,2,73.0,4,2,False,False,False,0.0,nan
4,CAND_0010685,0.956585,1.0,0.9694,0.933333,0.066667,0.0,0.967676,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 51 months of supporting experience",NLP Engineer,Rephrase.ai,6.7,16,4,3,51.0,4,4,False,False,False,2.0,previous_title_description_mismatch
5,CAND_0077337,0.978011,1.0,0.92094,0.9,0.1,0.0,0.964293,,"Positives: career evidence for ranking/relevance systems (ranker, ranking); career evidence for retrieval/search systems (semantic search, bm25); 4 relevant roles with 83 months of supporting experience",Staff Machine Learning Engineer,Paytm,7.0,20,2,4,83.0,3,3,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
6,CAND_0039754,0.994784,1.0,0.9808,0.7,0.3,0.0,0.963813,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (retrieval, bm25); 3 relevant roles with 98 months of supporting experience | Concerns: profile consistency concerns",Senior Applied Scientist,Meta,16.2,20,6,3,98.0,6,6,False,False,False,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
7,CAND_0050454,0.976619,1.0,0.863144,1.0,0.0,0.0,0.962107,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 81 months of supporting experience",AI Engineer,Rephrase.ai,6.8,15,4,3,81.0,4,8,False,False,False,0.0,nan
8,CAND_0018499,0.996554,1.0,0.854512,0.9,0.1,0.0,0.959352,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (bm25, retrieval); 3 relevant roles with 86 months of supporting experience",Senior Machine Learning Engineer,Zomato,7.2,17,4,3,86.0,7,4,False,False,False,3.0,graduation_after_employment_start
9,CAND_0091534,0.936603,1.0,0.9374,1.0,0.0,0.0,0.958951,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 85 months of supporting experience",AI Engineer,Flipkart,16.6,10,2,3,85.0,3,4,False,False,False,0.0,nan
10,CAND_0046064,0.985724,1.0,0.9412,0.766667,0.233333,0.0,0.958482,,"Positives: career evidence for ranking/relevance systems (ranking, ranker); career evidence for retrieval/search systems (retrieval, bm25); 3 relevant roles with 106 months of supporting experience",Senior NLP Engineer,Salesforce,8.9,16,1,3,106.0,6,3,False,False,False,7.0,degree_order_reversal; skills_current_role_mismatch; skills_headline_mismatch
