candidate_id,suspicion_score_10,raw_suspicion_points,reason_count,reason_codes,evidence
CAND_0047637,10.0,34,12,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; degree_order_reversal; graduation_after_employment_start; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `Accountant` maps to finance, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `HR Manager` maps to hr, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || previous_title_description_mismatch: Previous title `Civil Engineer` maps to software, but description lacks matching domain evidence: Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. || previous_title_description_mismatch: Previous title `Civil Engineer` maps to software, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || abrupt_career_jumps: Civil Engineer -> Graphic Designer -> Civil Engineer -> HR Manager -> Accountant || degree_order_reversal: Ph.D 2014-2019; B.Tech 2016-2019 || graduation_after_employment_start: First job starts 2011-09-15, latest graduation year 2019 || signup_after_last_active: signup_date=2026-05-12, last_active_date=2026-01-16"
CAND_0038005,10.0,32,12,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; moderate_career_incoherence; degree_order_reversal; graduation_after_employment_start; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `Business Analyst` maps to data, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `Graphic Designer` maps to design, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || previous_title_description_mismatch: Previous title `Operations Manager` maps to support_ops, but description lacks matching domain evidence: Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. || previous_title_description_mismatch: Previous title `Business Analyst` maps to data, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || moderate_career_incoherence: Customer Support -> Business Analyst -> Operations Manager -> Graphic Designer -> Business Analyst || degree_order_reversal: M.E. 2014-2017; B.E. 2017-2021 || graduation_after_employment_start: First job starts 2014-08-07, latest graduation year 2021 || signup_after_last_active: signup_date=2025-12-05, last_active_date=2025-10-30"
CAND_0051966,10.0,31,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; degree_order_reversal; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `Graphic Designer` maps to design, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || previous_title_description_mismatch: Previous title `HR Manager` maps to hr, but description lacks matching domain evidence: Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. || previous_title_description_mismatch: Previous title `Accountant` maps to finance, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `Sales Executive` maps to sales_marketing, but description lacks matching domain evidence: Operations management role at a logistics company. Owned daily fulfillment operations across 3 warehouses, managing a team of 80 across receiving, picking, packing, and outbound. Built and tracked the operational KPIs (on-time fulfillment, accuracy, cost per order) and led the continuous improvement initiatives that drove a 22% productivity gain over 18 months. || abrupt_career_jumps: Sales Executive -> Civil Engineer -> Sales Executive -> Accountant -> HR Manager -> Graphic Designer || degree_order_reversal: Ph.D 2003-2008; B.Tech 2004-2007 || signup_after_last_active: signup_date=2025-12-03, last_active_date=2025-11-24 || salary_min_exceeds_max: min=15.4, max=6.4"
CAND_0000470,10.0,30,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; graduation_after_employment_start; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `HR Manager` maps to hr, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || previous_title_description_mismatch: Previous title `Accountant` maps to finance, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || previous_title_description_mismatch: Previous title `Marketing Manager` maps to sales_marketing, but description lacks matching domain evidence: Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. || previous_title_description_mismatch: Previous title `Sales Executive` maps to sales_marketing, but description lacks matching domain evidence: Customer support team lead at a SaaS product. Managed a team of 8 support agents handling tier-1 and tier-2 tickets; owned the escalation process to engineering and the customer-feedback loop to product. Built out the support knowledge base and the agent training program. Strong on the people-management side and the process side; lighter on technical depth beyond product expertise. || abrupt_career_jumps: Accountant -> Marketing Manager -> Sales Executive -> Marketing Manager -> Graphic Designer -> Accountant -> HR Manager || graduation_after_employment_start: First job starts 2012-06-25, latest graduation year 2020 || signup_after_last_active: signup_date=2026-02-13, last_active_date=2025-11-07 || salary_min_exceeds_max: min=10.6, max=9.5"
CAND_0052329,10.0,30,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; graduation_after_employment_start; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `Accountant` maps to finance, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `Sales Executive` maps to sales_marketing, but description lacks matching domain evidence: Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. || previous_title_description_mismatch: Previous title `Graphic Designer` maps to design, but description lacks matching domain evidence: Content writing and SEO strategy for a tech-focused publication. Wrote longform articles on developer tools, cloud platforms, and AI/ML topics — including some that ranked on the first page of search for high-competition keywords. Managed a freelance writer pool and the editorial calendar. Recent work has been on AI-assisted content production, using LLM tools for research, drafting, and editing while maintaining editorial quality. || previous_title_description_mismatch: Previous title `Marketing Manager` maps to sales_marketing, but description lacks matching domain evidence: Operations management role at a logistics company. Owned daily fulfillment operations across 3 warehouses, managing a team of 80 across receiving, picking, packing, and outbound. Built and tracked the operational KPIs (on-time fulfillment, accuracy, cost per order) and led the continuous improvement initiatives that drove a 22% productivity gain over 18 months. || abrupt_career_jumps: Operations Manager -> Business Analyst -> Marketing Manager -> Graphic Designer -> Sales Executive -> Accountant || graduation_after_employment_start: First job starts 2015-07-26, latest graduation year 2021 || signup_after_last_active: signup_date=2025-11-27, last_active_date=2025-10-25 || salary_min_exceeds_max: min=14.3, max=12.9"
CAND_0068696,10.0,30,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; graduation_after_employment_start; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `HR Manager` maps to hr, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `Business Analyst` maps to data, but description lacks matching domain evidence: Customer support team lead at a SaaS product. Managed a team of 8 support agents handling tier-1 and tier-2 tickets; owned the escalation process to engineering and the customer-feedback loop to product. Built out the support knowledge base and the agent training program. Strong on the people-management side and the process side; lighter on technical depth beyond product expertise. || previous_title_description_mismatch: Previous title `Mechanical Engineer` maps to software, but description lacks matching domain evidence: Marketing leadership role at a B2B SaaS company. Owned the demand-generation function — content marketing, paid acquisition, SEO, email nurture. Built and managed a team of 5 across content, performance marketing, and marketing operations. Worked closely with sales on lead-quality definitions and the SDR-handoff process. Recent focus has been on account-based marketing for our enterprise segment. || previous_title_description_mismatch: Previous title `Graphic Designer` maps to design, but description lacks matching domain evidence: Content writing and SEO strategy for a tech-focused publication. Wrote longform articles on developer tools, cloud platforms, and AI/ML topics — including some that ranked on the first page of search for high-competition keywords. Managed a freelance writer pool and the editorial calendar. Recent work has been on AI-assisted content production, using LLM tools for research, drafting, and editing while maintaining editorial quality. || abrupt_career_jumps: Graphic Designer -> Mechanical Engineer -> Business Analyst -> HR Manager || graduation_after_employment_start: First job starts 2012-04-26, latest graduation year 2018 || signup_after_last_active: signup_date=2026-04-29, last_active_date=2026-03-07 || salary_min_exceeds_max: min=13.1, max=7.2"
CAND_0093725,10.0,30,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; graduation_after_employment_start; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `Business Analyst` maps to data, but description lacks matching domain evidence: Marketing leadership role at a B2B SaaS company. Owned the demand-generation function — content marketing, paid acquisition, SEO, email nurture. Built and managed a team of 5 across content, performance marketing, and marketing operations. Worked closely with sales on lead-quality definitions and the SDR-handoff process. Recent focus has been on account-based marketing for our enterprise segment. || previous_title_description_mismatch: Previous title `Civil Engineer` maps to software, but description lacks matching domain evidence: Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. || previous_title_description_mismatch: Previous title `Marketing Manager` maps to sales_marketing, but description lacks matching domain evidence: Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. || previous_title_description_mismatch: Previous title `Graphic Designer` maps to design, but description lacks matching domain evidence: Content writing and SEO strategy for a tech-focused publication. Wrote longform articles on developer tools, cloud platforms, and AI/ML topics — including some that ranked on the first page of search for high-competition keywords. Managed a freelance writer pool and the editorial calendar. Recent work has been on AI-assisted content production, using LLM tools for research, drafting, and editing while maintaining editorial quality. || abrupt_career_jumps: Graphic Designer -> Marketing Manager -> Civil Engineer -> Business Analyst || graduation_after_employment_start: First job starts 2015-09-08, latest graduation year 2021 || signup_after_last_active: signup_date=2026-05-17, last_active_date=2026-01-02 || salary_min_exceeds_max: min=11.5, max=7.2"
CAND_0095238,10.0,30,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; graduation_after_employment_start; signup_after_last_active; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `Civil Engineer` maps to software, but description lacks matching domain evidence: Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. || previous_title_description_mismatch: Previous title `Accountant` maps to finance, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || previous_title_description_mismatch: Previous title `Business Analyst` maps to data, but description lacks matching domain evidence: Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. || previous_title_description_mismatch: Previous title `Accountant` maps to finance, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || abrupt_career_jumps: HR Manager -> Accountant -> Business Analyst -> Accountant -> Sales Executive -> Civil Engineer || graduation_after_employment_start: First job starts 2012-08-01, latest graduation year 2015 || signup_after_last_active: signup_date=2026-04-22, last_active_date=2026-03-17 || salary_min_exceeds_max: min=16.6, max=12.6"
CAND_0002771,9.7,29,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; degree_order_reversal; graduation_after_employment_start; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `HR Manager` maps to hr, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `Accountant` maps to finance, but description lacks matching domain evidence: Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. || previous_title_description_mismatch: Previous title `Content Writer` maps to sales_marketing, but description lacks matching domain evidence: Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. || previous_title_description_mismatch: Previous title `Mechanical Engineer` maps to software, but description lacks matching domain evidence: Marketing leadership role at a B2B SaaS company. Owned the demand-generation function — content marketing, paid acquisition, SEO, email nurture. Built and managed a team of 5 across content, performance marketing, and marketing operations. Worked closely with sales on lead-quality definitions and the SDR-handoff process. Recent focus has been on account-based marketing for our enterprise segment. || abrupt_career_jumps: Mechanical Engineer -> Operations Manager -> Sales Executive -> Content Writer -> Sales Executive -> Accountant -> HR Manager || degree_order_reversal: Ph.D 2005-2008; M.E. 2011-2015 || graduation_after_employment_start: First job starts 2012-02-12, latest graduation year 2015 || salary_min_exceeds_max: min=12.8, max=8.4"
CAND_0011842,9.7,29,11,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; abrupt_career_jumps; degree_order_reversal; graduation_after_employment_start; salary_min_exceeds_max; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch,"current_title_description_mismatch: Current title `HR Manager` maps to hr, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `Civil Engineer` maps to software, but description lacks matching domain evidence: Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. || previous_title_description_mismatch: Previous title `Operations Manager` maps to support_ops, but description lacks matching domain evidence: Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. || previous_title_description_mismatch: Previous title `Content Writer` maps to sales_marketing, but description lacks matching domain evidence: Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. || abrupt_career_jumps: Project Manager -> Business Analyst -> Content Writer -> Operations Manager -> Civil Engineer -> HR Manager || degree_order_reversal: Ph.D 2003-2008; M.Tech 2010-2015 || graduation_after_employment_start: First job starts 2012-10-30, latest graduation year 2015 || salary_min_exceeds_max: min=15.4, max=8.5"
