rank,candidate_id,search_ranking_score,retrieval_score,evaluation_score,recommendation_score,vector_search_score,behavioral_score,trust_score,trust_penalty,calibration_penalty,final_score,score_cap,reasoning,current_title,current_company,years_of_experience,skill_count,ai_skill_count,relevant_role_count,relevant_duration_months,max_evidence_level,level4_5_count,search_ranking_evidence_count,retrieval_evidence_count,evaluation_evidence_count,recommendation_evidence_count,vector_search_evidence_count,ownership_term_count,scale_term_count,template_repetition,keyword_stuffer,ai_transition,consulting_only,trust_points,trust_reason_codes,consistency_points,consistency_reason_codes
1,CAND_0046064,0.957503,0.826615,0.96337,0.65668,0.96901,0.9262,0.8,0.07,0.0,0.82097,,"Evidence: Vector search L5 via `embeddings` at Verloop.io / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Evaluation L5 via `ndcg` at Verloop.io / Lead AI Engineer: Designed the offline evaluation framework from scratch  NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Search ranking L5 via `candidate-jd matching` at Salesforce / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval L5 via `retrieval` at Verloop.io / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Concerns: trust flags: degree_order_reversal, skills_current_role_mismatch, skills_headline_mismatch",Senior NLP Engineer,Salesforce,8.9,16,1,3,106.0,5,29,11,10,9,3,11,6,6,False,False,False,False,7.0,degree_order_reversal; skills_current_role_mismatch; skills_headline_mismatch,7.0,degree_order_reversal; skills_current_role_mismatch; skills_headline_mismatch
2,CAND_0039754,0.940679,0.95731,0.976278,0.454174,0.991138,0.9658,0.742857,0.09,0.0,0.807822,,"Evidence: Vector search L5 via `embedding` at Meta / Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Evaluation L5 via `simulated a/b` at Meta / Senior Applied Scientist: After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months. | Retrieval L5 via `retrieval` at Meta / Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Search ranking L5 via `learning-to-rank` at Meta / Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... Concerns: trust flags: current_title_description_mismatch, previous_title_description_mismatch, skills_career_history_mismatch",Senior Applied Scientist,Meta,16.2,20,6,3,98.0,5,35,11,13,10,2,15,8,8,False,False,False,False,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_career_history_mismatch; skills_current_role_mismatch; skills_headline_mismatch,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
3,CAND_0046525,0.8504,0.88531,0.958164,0.0,0.929219,0.917,1.0,0.0,0.0,0.785958,,"Evidence: Evaluation L5 via `a/b testing` at Genpact AI / Senior Machine Learning Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. | Vector search L5 via `embedding` at Genpact AI / Senior Machine Learning Engineer: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. | Retrieval L5 via `index versioning` at Genpact AI / Senior Machine Learning Engineer: Most of the engineering effort went into the boring infrastructure: index versioning, embedding versioning, rollback paths, and the dashboards that let recruiters trust the new system. | Search ranking L5 via `ranker` at Genpact AI / Senior Machine Learning Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system.",Senior Machine Learning Engineer,Genpact AI,6.1,17,5,2,73.0,5,23,7,10,8,0,10,6,7,False,False,False,False,0.0,,0.0,
4,CAND_0081846,0.829312,0.940587,0.96337,0.152846,0.970135,0.9394,0.914286,0.03,0.0,0.785424,,"Evidence: Vector search L5 via `embeddings` at Razorpay / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Evaluation L5 via `ndcg` at Razorpay / Lead AI Engineer: Designed the offline evaluation framework from scratch  NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Retrieval L5 via `retrieval` at Razorpay / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Search ranking L5 via `learning-to-rank` at Razorpay / Lead AI Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Concerns: trust flags: skills_current_role_mismatch, skills_headline_mismatch",Lead AI Engineer,Razorpay,6.7,18,5,2,79.0,5,26,8,13,9,3,15,8,8,False,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch,3.0,skills_current_role_mismatch; skills_headline_mismatch
5,CAND_0005260,0.847283,0.738761,0.94344,0.371008,0.89417,0.815578,1.0,0.0,0.0,0.783541,,"Evidence: Evaluation L5 via `ndcg` at Yellow.ai / Senior NLP Engineer: Designed the offline evaluation framework from scratch  NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Vector search L5 via `embeddings` at Yellow.ai / Senior NLP Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Search ranking L5 via `candidate-jd matching` at Netflix / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval L5 via `retrieval` at Yellow.ai / Senior NLP Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight.",Senior NLP Engineer,Netflix,5.2,18,6,2,61.0,5,20,6,7,8,1,10,5,6,False,False,False,False,0.0,,0.0,
6,CAND_0092278,0.9483,0.738761,0.94344,0.843476,0.979653,0.511089,0.771429,0.08,0.0,0.778242,0.92,"Evidence: Vector search L5 via `embeddings` at Microsoft / Senior NLP Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. | Search ranking L5 via `ranking layer` at Microsoft / Senior NLP Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. | Evaluation L5 via `ndcg` at Saarthi.ai / Senior NLP Engineer: Designed the offline evaluation framework from scratch  NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Recommendation/matching L5 via `recommendation system` at Microsoft / Senior NLP Engineer: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. Concerns: template-like repeated career descriptions; long notice period (90 days); trust flags: template_repetition; score capped at 0.92",Senior NLP Engineer,Microsoft,6.8,17,4,3,80.0,5,30,10,7,8,4,13,5,7,True,False,False,False,8.0,template_repetition,0.0,
7,CAND_0018499,0.964659,0.919743,0.995234,0.385957,0.986818,0.855216,0.685714,0.11,0.0,0.774278,0.92,"Evidence: Evaluation L5 via `ndcg` at Zomato / Senior Machine Learning Engineer: Designed the offline evaluation framework from scratch  NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Vector search L5 via `embeddings` at Zomato / Senior Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Search ranking L5 via `learning-to-rank` at Zomato / Senior Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Retrieval L5 via `retrieval` at Zomato / Senior Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Concerns: template-like repeated career descriptions; trust flags: graduation_after_employment_start, template_repetition; score capped at 0.92",Senior Machine Learning Engineer,Zomato,7.2,17,4,3,86.0,5,38,12,11,13,3,16,5,6,True,False,False,False,11.0,graduation_after_employment_start; template_repetition,3.0,graduation_after_employment_start
8,CAND_0008425,0.829312,0.872076,0.678471,0.664839,0.929219,0.822,0.914286,0.03,0.0,0.768741,,"Evidence: Vector search L5 via `embedding` at Ola / Senior NLP Engineer: Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. | Retrieval L5 via `retrieval` at Ola / Senior NLP Engineer: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). | Search ranking L5 via `candidate-jd matching` at Zomato / Senior ML Engineer — Search & Ranking: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Evaluation L5 via `ndcg` at Ola / Senior NLP Engineer: The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Concerns: long notice period (90 days); trust flags: skills_current_role_mismatch, skills_headline_mismatch",Senior NLP Engineer,Ola,7.8,17,3,3,92.0,5,19,8,9,4,5,10,6,6,False,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch,3.0,skills_current_role_mismatch; skills_headline_mismatch
9,CAND_0088025,0.928236,0.836103,0.762175,0.604369,0.952853,0.8952,0.771429,0.08,0.0,0.757701,0.92,Evidence: Vector search L5 via `embedding` at Yellow.ai / Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Search ranking L5 via `learning-to-rank` at Yellow.ai / Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Retrieval L5 via `retrieval` at Yellow.ai / Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Evaluation L5 via `simulated a/b` at Yellow.ai / Staff Machine Learning Engineer: After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months. Concerns: template-like repeated career descriptions; long notice period (90 days); trust flags: template_repetition; score capped at 0.92,Staff Machine Learning Engineer,Yellow.ai,8.6,19,6,3,102.0,5,23,10,9,4,2,10,5,3,True,False,False,False,8.0,template_repetition,0.0,
10,CAND_0055905,0.847283,0.938994,0.958164,0.371008,0.969578,0.879956,0.742857,0.09,0.0,0.75203,,"Evidence: Vector search L5 via `embedding` at Flipkart / Senior Machine Learning Engineer: Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. | Evaluation L5 via `ndcg` at Flipkart / Senior Machine Learning Engineer: The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. | Retrieval L5 via `retrieval` at Flipkart / Senior Machine Learning Engineer: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). | Search ranking L5 via `candidate-jd matching` at Uber / Senior AI Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Concerns: trust flags: degree_order_reversal, previous_title_description_mismatch, skills_current_role_mismatch",Senior Machine Learning Engineer,Flipkart,8.1,13,4,3,96.0,5,28,6,12,8,1,13,9,8,False,False,False,False,9.0,degree_order_reversal; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch,9.0,previous_title_description_mismatch; degree_order_reversal; skills_current_role_mismatch; skills_headline_mismatch
