candidate_id,current_rank,current_title,years_experience,candidate_family,interview_decision,confidence,strongest_evidence,biggest_concern,suggested_rank_band,ranker_judgment,reasoning
CAND_0081846,1,Lead AI Engineer,6.7,Search Ranking Engineer,YES,HIGH,Ranking/relevance: Razorpay Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Retrieval/search infra: Razorpay Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.,"Profile consistency concern: skills_current_role_mismatch,  skills_headline_mismatch",Top 10,Correct,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Razorpay Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Retrieval/search infra: Razorpay Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: Profile consistency concern: skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
CAND_0088025,2,Staff Machine Learning Engineer,8.6,Retrieval Engineer,YES,MEDIUM,Retrieval/search infra: Yellow.ai Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... | Ranking/relevance: Yellow.ai Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon...,Repeated/template-like role descriptions across employers; committee discounts confidence.,Top 50,Much Too High,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: Yellow.ai Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... | Ranking/relevance: Yellow.ai Staff Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... Concern: Repeated/template-like role descriptions across employers; committee discounts confidence. Decision is YES and suggested band is Top 50 because role-level evidence, n..."
CAND_0046525,3,Senior Machine Learning Engineer,6.1,Search Ranking Engineer,YES,HIGH,Ranking/relevance: Genpact AI Senior Machine Learning Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. | Retrieval/search infra: Genpact AI Senior Machine Learning Engineer: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months.,No major concern beyond normal verification of synthetic profile evidence.,Top 10,Correct,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Genpact AI Senior Machine Learning Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. | Retrieval/search infra: Genpact AI Senior Machine Learning Engineer: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Concern: No major concern beyond normal verification of synthetic profile evidence. Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
CAND_0010685,4,NLP Engineer,6.7,Search Ranking Engineer,YES,HIGH,"Ranking/relevance: Rephrase.ai NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Rephrase.ai NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.",Profile consistency concern: previous_title_description_mismatch,Top 10,Correct,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Rephrase.ai NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Rephrase.ai NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concern: Profile consistency concern: previous_title_description_mismatch Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
CAND_0077337,5,Staff Machine Learning Engineer,7.0,Retrieval Engineer,YES,MEDIUM,"Retrieval/search infra: Razorpay Senior NLP Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. | Ranking/relevance: Paytm Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer.","Profile consistency concern: skills_current_role_mismatch,  skills_headline_mismatch",Top 50,Much Too High,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: Razorpay Senior NLP Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. | Ranking/relevance: Paytm Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. Concern: Profile consistency concern: skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0039754,6,Senior Applied Scientist,16.2,Evaluation/Relevance Engineer,YES,MEDIUM,Evaluation: Meta Senior Applied Scientist: The hardest part wasn't the ML - it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. | Ranking/relevance: Meta Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon...,"Profile consistency concern: current_title_description_mismatch,  previous_title_description_mismatch,  skills_current_role_mismatch,  skills_headline_mismatch,  skills_career_history_mismatch",Top 10,Correct,"Committee classifies this as Evaluation/Relevance Engineer. Evaluation: Meta Senior Applied Scientist: The hardest part wasn't the ML - it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. | Ranking/relevance: Meta Senior Applied Scientist: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... Concern: Profile consistency concern: current_title_description_mismatch, previous_title_description_mismatch, skills_current_role_mismatch, skills_headline_mismatch, skills_career_history_mismatch Decision is YES..."
CAND_0050454,7,AI Engineer,6.8,Search Ranking Engineer,YES,MEDIUM,"Ranking/relevance: Rephrase.ai AI Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Rephrase.ai AI Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents.",Repeated/template-like role descriptions across employers; committee discounts confidence.,Top 50,Much Too High,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Rephrase.ai AI Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Rephrase.ai AI Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. Concern: Repeated/template-like role descriptions across employers; committee discounts confidence. Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0018499,8,Senior Machine Learning Engineer,7.2,Search Ranking Engineer,YES,MEDIUM,Ranking/relevance: Zomato Senior Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Retrieval/search infra: Zomato Senior Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.,Profile consistency concern: graduation_after_employment_start,Top 50,Much Too High,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Zomato Senior Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Retrieval/search infra: Zomato Senior Machine Learning Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: Profile consistency concern: graduation_after_employment_start Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0091534,9,AI Engineer,16.6,Search Ranking Engineer,YES,HIGH,"Ranking/relevance: Flipkart AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Flipkart AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.",No major concern beyond normal verification of synthetic profile evidence.,Top 10,Correct,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Flipkart AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Flipkart AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concern: No major concern beyond normal verification of synthetic profile evidence. Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
CAND_0046064,10,Senior NLP Engineer,8.9,Search Ranking Engineer,YES,MEDIUM,Ranking/relevance: Salesforce Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Verloop.io Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.,"Profile consistency concern: degree_order_reversal,  skills_current_role_mismatch,  skills_headline_mismatch",Top 10,Correct,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Salesforce Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Verloop.io Lead AI Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: Profile consistency concern: degree_order_reversal, skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
